,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
95,3,26,1,25.0,0,0,7.7958,0
96,1,54,0,76.0,1,0,78.85,0
97,3,25,1,29.0,0,0,7.925,0
98,3,28,0,20.0,0,0,7.8542,0
99,3,28,1,33.0,0,0,8.05,0
100,1,51,0,43.0,1,0,55.4417,1
101,2,18,1,27.0,1,0,26.0,0
102,3,18,1,30.0,0,0,7.75,2
103,3,38,1,26.0,0,0,7.775,0
104,3,41,0,16.0,1,1,8.5167,1
105,3,25,1,28.0,0,0,22.525,0
106,3,19,1,21.0,0,0,7.8208,2
107,3,16,1,30.0,0,0,7.75,2
108,3,32,1,30.0,0,0,8.7125,0
109,2,17,1,18.5,0,0,13.0,0
110,2,24,1,41.0,0,0,15.0458,1
111,3,26,0,30.0,0,0,7.7792,2
112,1,24,0,36.0,0,0,31.6792,1
113,3,24,0,18.5,0,0,7.2833,2
114,1,38,0,63.0,1,0,221.7792,0
115,3,27,1,18.0,1,0,14.4542,1
116,3,16,1,30.0,0,0,6.4375,1
117,3,31,0,1.0,1,1,16.7,0
118,1,20,1,36.0,0,0,75.2417,1
119,2,47,0,29.0,1,0,26.0,0
120,2,20,0,12.0,0,0,15.75,0
121,3,17,1,30.0,1,0,7.75,2
122,1,31,0,35.0,1,0,57.75,1
123,3,23,1,28.0,0,0,7.25,0
124,3,17,1,30.0,0,0,7.75,2
125,3,24,0,17.0,0,1,16.1,0
126,3,24,1,22.0,0,0,7.7958,0
127,3,19,0,30.0,2,0,23.25,2
128,2,20,1,42.0,0,0,13.0,0
129,3,20,1,24.0,0,0,8.05,0
130,3,23,1,32.0,0,0,8.05,0
131,1,25,1,53.0,0,0,28.5,1
132,3,29,0,30.0,0,4,25.4667,0
133,3,21,1,30.0,1,0,6.4375,1
134,3,22,1,43.0,0,0,7.8958,0
135,3,25,1,24.0,0,0,7.8542,0
136,3,25,1,26.5,0,0,7.225,1
137,2,19,1,26.0,0,0,13.0,0
138,3,21,0,23.0,0,0,8.05,0
139,3,30,1,40.0,1,6,46.9,0
140,3,27,0,10.0,5,2,46.9,0
141,1,20,0,33.0,0,0,151.55,0
142,1,26,1,61.0,1,3,262.375,1
143,2,26,1,28.0,0,0,26.0,0
144,1,53,1,42.0,0,0,26.55,0
145,3,25,1,31.0,3,0,18.0,0
146,1,27,1,30.0,0,0,51.8625,0
147,3,16,1,22.0,0,0,8.05,0
148,1,25,1,30.0,0,0,26.55,0
149,2,22,1,30.0,1,1,26.0,0
150,1,37,0,23.0,0,1,83.1583,1
151,3,20,1,30.0,0,0,7.8958,1
152,3,18,1,60.5,0,0,35.0,0
153,3,46,0,36.0,0,2,12.1833,0
154,3,28,1,13.0,4,2,31.3875,0
155,3,20,1,24.0,0,0,7.55,0
156,1,17,0,29.0,0,0,221.7792,0
157,3,24,0,23.0,0,0,7.8542,0
158,1,24,1,42.0,0,0,26.55,0
159,3,35,0,26.0,0,2,13.775,0
160,3,18,0,30.0,0,0,7.7333,2
161,3,30,1,7.0,1,1,15.2458,1
162,2,20,0,26.0,0,0,13.5,0
163,3,18,1,30.0,0,0,7.0,0
164,2,29,1,41.0,0,0,13.0,0
165,3,42,0,26.0,1,1,22.025,0
166,1,18,1,48.0,0,0,50.4958,1
167,3,23,1,18.0,2,2,34.375,0
168,1,59,0,30.0,0,0,27.7208,1
169,3,28,0,22.0,0,0,8.9625,0
170,3,18,1,30.0,0,0,7.55,0
171,3,19,1,27.0,0,0,7.225,1
172,3,24,1,23.0,1,0,13.9,0
173,3,16,1,30.0,0,0,7.2292,1
174,3,42,1,40.0,1,5,31.3875,0
175,2,25,0,15.0,0,2,39.0,0
176,2,20,0,20.0,0,0,36.75,0
177,1,31,1,54.0,1,0,55.4417,1
178,2,48,0,36.0,0,3,39.0,0
179,1,53,0,64.0,0,2,83.1583,1
180,2,25,1,30.0,0,0,13.0,0
181,1,32,1,37.0,1,1,83.1583,1
182,1,62,0,18.0,1,0,53.1,0
183,3,17,1,30.0,0,0,7.75,2
184,1,52,0,27.0,1,1,247.5208,1
185,2,25,1,40.0,0,0,16.0,0
186,2,36,0,21.0,0,1,21.0,0
187,3,18,1,17.0,2,0,8.05,0
188,3,15,0,30.0,8,2,69.55,0
189,2,15,1,40.0,0,0,13.0,0
190,2,20,1,34.0,1,0,26.0,0
191,1,22,1,30.0,0,0,26.0,0
192,3,33,1,11.5,1,1,14.5,0
193,2,17,1,61.0,0,0,12.35,2
194,2,29,1,8.0,0,2,32.5,0
195,3,33,1,33.0,0,0,7.8542,0
196,1,31,1,6.0,0,2,134.5,1
197,3,27,0,18.0,0,0,7.775,0
198,2,30,1,23.0,0,0,10.5,0
199,3,39,0,30.0,0,0,8.1125,0
200,3,18,0,30.0,0,0,15.5,2
201,3,39,1,0.33,0,2,14.4,0
202,1,22,1,47.0,1,0,227.525,1
203,2,26,0,8.0,1,1,26.0,0
204,2,24,1,25.0,0,0,10.5,0
205,1,25,1,30.0,0,0,25.7417,1
206,3,24,0,35.0,0,0,7.75,2
207,2,28,1,24.0,0,0,10.5,0
208,1,29,0,33.0,0,0,27.7208,1
209,3,18,1,25.0,0,0,7.8958,0
210,3,27,1,32.0,0,0,22.525,0
211,3,17,1,30.0,0,0,7.05,0
212,2,25,1,17.0,0,0,73.5,0
213,2,44,0,60.0,1,0,26.0,0
214,3,38,0,38.0,4,2,7.775,0
215,1,21,1,42.0,0,0,42.5,0
216,3,26,0,30.0,0,0,7.8792,2
217,1,24,1,57.0,1,1,164.8667,0
218,1,44,0,50.0,1,1,211.5,1
219,3,31,1,30.0,0,0,8.05,0
220,2,30,0,30.0,1,0,13.8583,1
221,3,22,1,21.0,0,0,8.05,0
222,2,26,0,22.0,0,0,10.5,0
223,3,29,1,21.0,0,0,7.7958,0
224,1,48,0,53.0,0,0,27.4458,1
225,3,48,0,30.0,0,2,15.2458,1
226,3,26,1,23.0,0,0,7.7958,0
227,3,22,0,30.0,0,0,7.75,2
228,3,25,1,40.5,0,0,15.1,0
229,2,34,1,36.0,0,0,13.0,0
230,2,27,1,14.0,0,0,65.0,0
231,1,24,0,21.0,0,0,26.55,0
232,3,23,1,21.0,1,0,6.4958,0
233,3,20,1,30.0,0,0,7.8792,2
234,1,25,1,39.0,1,0,71.2833,1
235,3,22,1,20.0,0,0,7.8542,0
236,1,24,1,64.0,1,0,75.25,1
237,3,19,1,20.0,0,0,7.225,1
238,2,21,0,18.0,1,1,13.0,0
239,1,43,0,48.0,1,0,106.425,1
240,1,41,0,55.0,0,0,27.7208,1
241,2,29,0,45.0,0,2,30.0,0
242,1,28,1,45.0,1,1,134.5,1
243,3,18,1,30.0,0,0,7.8875,0
244,3,41,1,30.0,1,2,23.45,0
245,1,23,1,41.0,1,0,51.8625,0
246,2,37,0,22.0,0,0,21.0,0
247,2,22,1,42.0,1,1,32.5,0
248,2,40,0,29.0,1,0,26.0,0
249,3,41,0,30.0,1,0,14.4542,1
250,2,21,0,0.92,1,2,27.75,0
251,3,40,1,20.0,0,0,7.925,0
252,1,24,1,27.0,1,0,136.7792,1
253,3,24,1,24.0,0,0,9.325,0
254,3,19,1,32.5,0,0,9.5,0
255,3,26,1,30.0,0,0,7.55,0
256,3,15,1,30.0,0,0,7.75,2
257,3,21,1,28.0,0,0,8.05,0
258,2,23,0,19.0,0,0,13.0,0
259,3,24,1,21.0,0,0,7.775,0
260,3,36,1,36.5,1,0,17.4,0
261,3,29,1,21.0,0,0,7.8542,0
262,2,49,0,29.0,0,2,23.0,0
263,3,28,0,1.0,1,1,12.1833,0
264,2,38,1,30.0,0,0,12.7375,1
265,3,21,1,30.0,0,0,7.8958,0
266,1,37,1,30.0,0,0,0.0,0
267,3,27,1,30.0,0,0,7.55,0
268,3,27,0,30.0,0,0,8.05,0
269,3,17,1,17.0,0,0,8.6625,0
270,1,28,1,46.0,0,0,75.2417,1
271,3,16,1,30.0,0,0,7.75,2
272,1,45,0,26.0,1,0,136.7792,1
273,3,18,0,30.0,1,0,15.5,2
274,3,21,1,30.0,0,0,7.225,1
275,2,35,0,20.0,1,0,26.0,0
276,2,28,1,28.0,0,0,10.5,0
277,2,21,1,40.0,1,0,26.0,0
278,2,20,1,30.0,1,0,21.0,0
279,2,25,1,22.0,0,0,10.5,0
280,3,22,0,23.0,0,0,8.6625,0
281,3,30,1,0.75,1,1,13.775,0
282,3,21,0,30.0,0,0,7.75,2
283,3,26,0,9.0,1,1,15.2458,1
284,3,27,0,2.0,1,1,20.2125,0
285,3,19,1,36.0,0,0,7.25,0
286,3,38,1,30.0,0,0,7.25,0
287,1,26,1,24.0,1,0,82.2667,0
288,3,23,1,30.0,0,0,7.2292,1
289,3,16,1,30.0,0,0,8.05,0
290,1,35,1,30.0,0,0,39.6,0
291,3,38,0,30.0,0,0,6.95,2
292,3,17,1,30.0,0,0,7.2292,1
293,1,21,1,53.0,1,1,81.8583,0
294,3,25,1,36.0,0,0,9.5,0
295,3,20,1,26.0,0,0,7.8958,0
296,2,21,0,1.0,1,2,41.5792,1
297,3,17,1,30.0,2,0,21.6792,1
298,1,26,1,30.0,0,0,45.5,0
299,3,19,1,29.0,0,0,7.8542,0
300,3,25,1,32.0,0,0,7.775,0
301,2,19,1,30.0,0,0,15.0458,1
302,2,27,1,43.0,0,1,21.0,0
303,3,17,1,24.0,0,0,8.6625,0
304,3,33,0,30.0,0,0,7.75,2
305,1,58,0,64.0,1,1,26.55,0
306,1,36,1,30.0,1,2,151.55,0
307,3,25,1,0.83,0,1,9.35,0
308,1,26,1,55.0,1,1,93.5,0
309,3,42,0,45.0,1,0,14.1083,0
310,3,20,1,18.0,0,0,8.6625,0
311,3,20,1,22.0,0,0,7.225,1
312,3,19,1,30.0,0,0,7.575,0
313,3,19,0,37.0,0,0,7.75,2
314,1,37,0,55.0,0,0,135.6333,1
315,3,20,0,17.0,0,0,7.7333,2
316,1,29,1,57.0,1,0,146.5208,1
317,2,26,1,19.0,0,0,10.5,0
318,3,25,1,27.0,0,0,7.8542,0
319,2,28,1,22.0,2,0,31.5,0
320,3,27,1,26.0,0,0,7.775,0
321,3,21,1,25.0,0,0,7.2292,1
322,2,18,1,26.0,0,0,13.0,0
323,1,18,1,33.0,0,0,26.55,0
324,1,22,0,39.0,0,0,211.3375,0
325,3,14,1,23.0,0,0,7.05,0
326,2,28,0,12.0,2,1,39.0,0
327,1,43,1,46.0,0,0,79.2,1
328,2,29,1,29.0,1,0,26.0,0
329,2,19,1,21.0,0,0,13.0,0
330,2,54,0,48.0,0,2,36.75,0
331,1,28,1,39.0,0,0,29.7,1
332,3,19,1,30.0,0,0,7.225,1
333,3,37,0,19.0,1,1,15.7417,1
334,3,13,1,27.0,0,0,7.8958,0
335,1,24,1,30.0,0,0,26.0,0
336,2,26,1,32.0,0,0,13.0,0
337,3,17,1,39.0,0,2,7.2292,1
338,2,20,1,25.0,0,0,31.5,0
339,3,21,1,30.0,0,0,7.2292,1
340,2,29,1,18.0,0,0,10.5,0
341,3,26,1,32.0,0,0,7.5792,0
342,3,21,1,30.0,1,9,69.55,0
343,1,63,0,58.0,0,1,512.3292,1
344,3,35,1,30.0,1,1,14.5,0
345,3,27,0,16.0,0,0,7.65,0
346,2,26,1,26.0,0,0,13.0,0
347,3,47,0,38.0,0,0,7.2292,1
348,2,16,1,24.0,0,0,13.5,0
349,2,22,0,31.0,0,0,21.0,0
350,1,44,0,45.0,0,1,63.3583,1
351,2,25,1,25.0,0,0,10.5,0
352,2,19,1,18.0,0,0,73.5,0
353,2,18,1,49.0,1,2,65.0,0
354,3,39,0,0.17,1,2,20.575,0
355,1,24,1,50.0,0,0,26.0,0
356,1,46,0,59.0,2,0,51.4792,0
357,3,19,1,30.0,0,0,7.8792,0
358,3,20,1,30.0,0,0,7.75,2
359,3,51,0,30.0,1,0,15.55,0
360,3,27,1,14.5,8,2,69.55,0
361,2,39,0,24.0,1,1,37.0042,1
362,2,44,0,31.0,0,0,21.0,0
363,3,17,1,27.0,0,0,8.6625,0
364,1,44,0,25.0,1,0,55.4417,1
365,3,30,0,30.0,1,9,69.55,0
366,3,17,1,30.0,1,0,14.4583,1
367,3,44,0,22.0,0,0,39.6875,0
368,1,39,0,45.0,0,1,59.4,1
369,2,29,1,29.0,0,0,13.8583,1
370,2,16,1,21.0,1,0,11.5,0
371,1,25,0,31.0,0,0,134.5,1
372,1,23,1,49.0,0,0,0.0,0
373,2,22,1,44.0,0,0,13.0,0
374,1,37,0,54.0,1,1,81.8583,0
375,1,24,0,45.0,0,0,262.375,1
376,3,17,0,22.0,2,0,8.6625,0
377,2,28,1,21.0,0,0,11.5,0
378,1,27,1,55.0,0,0,50.0,0
379,3,27,1,5.0,4,2,31.3875,0
380,3,21,1,30.0,0,0,7.75,2
381,3,17,1,26.0,0,0,7.8792,2
382,3,26,0,30.0,0,0,14.5,0
383,3,35,0,19.0,1,0,16.1,0
384,2,30,1,30.0,0,0,12.875,0
385,2,18,0,24.0,1,2,65.0,0
386,3,30,1,24.0,0,0,7.775,0
387,2,15,1,57.0,0,0,13.0,0
388,3,20,1,21.0,0,0,7.75,2
389,3,27,1,6.0,3,1,21.075,0
390,1,26,1,23.0,0,0,93.5,0
391,1,46,0,51.0,0,1,39.4,0
392,3,29,1,13.0,0,2,20.25,0
393,2,20,1,47.0,0,0,10.5,0
394,3,24,1,29.0,3,1,22.025,0
395,1,46,0,18.0,1,0,60.0,0
396,3,20,1,24.0,0,0,7.25,2
397,1,63,0,48.0,1,1,79.2,1
398,3,30,1,22.0,0,0,7.775,0
399,3,24,1,31.0,0,0,7.7333,2
400,1,23,0,30.0,0,0,164.8667,0
401,2,15,1,38.0,1,0,21.0,0
402,1,30,0,22.0,0,1,59.4,1
403,1,22,1,17.0,0,0,47.1,0
404,1,28,1,43.0,1,0,27.7208,1
405,2,44,1,20.0,0,0,13.8625,1
406,2,25,1,23.0,1,0,10.5,0
407,1,26,1,50.0,1,1,211.5,1
408,3,31,0,30.0,0,0,7.7208,2
409,3,25,0,3.0,1,1,13.775,0
410,3,22,0,30.0,0,0,7.75,2
411,1,47,0,37.0,1,0,90.0,2
412,3,30,0,28.0,0,0,7.775,0
413,3,18,1,30.0,0,0,8.05,0
414,1,28,0,39.0,0,0,108.9,1
415,3,28,1,38.5,0,0,7.25,0
416,3,19,1,30.0,0,0,8.05,0
417,3,24,1,30.0,1,1,22.3583,1
